Site,Model,Horizon,RMSE,MAE,R2
UK-AMo,TEMPO Fine-Tuned,23,2.03785,1.23208,0.69004
UK-AMo,TEMPO Fine-Tuned,24,2.06042,1.24633,0.68315
UK-AMo,TEMPO Fine-Tuned,25,2.12961,1.31503,0.66151
UK-AMo,TEMPO Fine-Tuned,26,2.18605,1.35835,0.64333
UK-AMo,TEMPO Fine-Tuned,27,2.22419,1.3854,0.63077
UK-AMo,TEMPO Fine-Tuned,28,2.23905,1.39406,0.62582
UK-AMo,TEMPO Fine-Tuned,29,2.25655,1.40997,0.61995
UK-AMo,TEMPO Fine-Tuned,30,2.24907,1.40671,0.62247
UK-AMo,TEMPO Fine-Tuned,31,2.23826,1.4005,0.62609
UK-AMo,TEMPO Fine-Tuned,32,2.22328,1.39045,0.63108
UK-AMo,TEMPO Fine-Tuned,33,2.22858,1.39077,0.62932
UK-AMo,TEMPO Fine-Tuned,34,2.2164,1.38543,0.63336
UK-AMo,TEMPO Fine-Tuned,35,2.22414,1.38552,0.63079
UK-AMo,TEMPO Fine-Tuned,36,2.24909,1.40016,0.62246
UK-AMo,TEMPO Fine-Tuned,37,2.248,1.40842,0.62284
UK-AMo,TEMPO Fine-Tuned,38,2.26822,1.42607,0.61602
UK-AMo,TEMPO Fine-Tuned,39,2.26819,1.42609,0.61602
UK-AMo,TEMPO Fine-Tuned,40,2.27799,1.40899,0.6127
UK-AMo,TEMPO Fine-Tuned,41,2.2709,1.42158,0.61511
UK-AMo,TEMPO Fine-Tuned,42,2.26558,1.43096,0.61691
UK-AMo,TEMPO Fine-Tuned,43,2.26585,1.41742,0.61682
UK-AMo,TEMPO Fine-Tuned,44,2.27122,1.42047,0.615
UK-AMo,TEMPO Fine-Tuned,45,2.29747,1.42906,0.60605
UK-AMo,TEMPO Fine-Tuned,46,2.33585,1.45467,0.59278
